name,inputData,displacement,replaceNan,removeMean,FFT,#RNN,sizeRNN,bidirectional,#FC,numFC,Dropout,Weigthed,Custom_loss,xyDisplacement,is_regression,augmentation,Accuracy,N4_Acc,Q4_Acc,T4_Acc,Q4H7_Acc,Custom_Acc,Testing_Metric
266,ratioNorm,1,1,0,0,1,64,1,2,16,0.1,0,1,0,0,N,,,,,,,
267,ratioNorm,1,1,0,0,1,64,1,2,16,0.1,1,0,0,0,N,,,,,,,
268,ratioNorm,1,1,0,0,1,64,1,2,16,0.1,1,1,0,0,N,,,,,,,
269,ratioNorm,1,1,0,0,1,64,1,2,16,0.2,0,0,0,0,N,,,,,,,
270,ratioNorm,1,1,0,0,1,64,1,2,16,0.2,0,1,0,0,N,,,,,,,
271,ratioNorm,1,1,0,0,1,64,1,2,16,0.2,1,0,0,0,N,,,,,,,
272,ratioNorm,1,1,0,0,1,64,1,2,16,0.2,1,1,0,0,N,,,,,,,
273,ratioNorm,1,1,0,0,1,64,1,2,32,0.1,0,0,0,0,N,,,,,,,
274,ratioNorm,1,1,0,0,1,64,1,2,32,0.1,0,1,0,0,N,,,,,,,
275,ratioNorm,1,1,0,0,1,64,1,2,32,0.1,1,0,0,0,N,,,,,,,
276,ratioNorm,1,1,0,0,1,64,1,2,32,0.1,1,1,0,0,N,,,,,,,
277,ratioNorm,1,1,0,0,1,64,1,2,32,0.2,0,0,0,0,N,,,,,,,
278,ratioNorm,1,1,0,0,1,64,1,2,32,0.2,0,1,0,0,N,,,,,,,
279,ratioNorm,1,1,0,0,1,64,1,2,32,0.2,1,0,0,0,N,,,,,,,
