name,inputData,displacement,replaceNan,removeMean,FFT,#RNN,sizeRNN,bidirectional,#FC,numFC,Dropout,Custom_loss,xyDisplacement,Accuracy,N4_Acc,Q4_Acc,T4_Acc,Q4H7_Acc,Custom_Acc,Testing_Metric
107,indiv,1,1,0,0,3,32,1,1,64,0.2,0,0,0.5515,0.6944,0.5217,0.2593,0.5971,0.4491,3.057
108,ratioNorm,1,1,0,1,3,32,1,1,64,0.2,0,0,0.5747,0.6776,0.5901,0.3148,0.5891,0.4885,3.1354
109,ratio,1,1,0,0,1,64,1,1,64,0.2,0,0,0.5513,0.6863,0.541,0.2298,0.6117,0.4452,3.2001
110,ratioNorm,1,1,0,0,1,64,1,1,64,0.2,0,0,0.5719,0.743,0.5075,0.2603,0.641,0.4589,3.3044
111,indiv,1,1,0,0,1,64,1,1,64,0.2,0,0,0.5606,0.6716,0.5453,0.3922,0.508,0.4892,3.0445
112,ratioNorm,1,1,0,1,1,64,1,1,64,0.2,0,0,0.5719,0.7223,0.5702,0.2778,0.5399,0.4624,3.3317
113,ratio,1,1,0,0,2,64,1,1,64,0.2,0,0,0.5593,0.6908,0.5453,0.3638,0.4827,0.4748,3.2459
114,ratioNorm,1,1,0,0,2,64,1,1,64,0.2,0,0,0.5679,0.7359,0.5342,0.3148,0.508,0.4614,3.3502
115,indiv,1,1,0,0,2,64,1,1,64,0.2,0,0,0.5698,0.7481,0.4932,0.2625,0.641,0.456,3.1377
116,ratioNorm,1,1,0,1,2,64,1,1,64,0.2,0,0,0.5648,0.7679,0.4528,0.3617,0.5199,0.4613,3.4077
117,ratio,1,1,0,0,3,64,1,1,64,0.2,0,0,0.5559,0.7152,0.5273,0.2375,0.5878,0.4423,3.2805
118,ratioNorm,1,1,0,0,3,64,1,1,64,0.2,0,0,0.5681,0.7446,0.446,0.3028,0.6902,0.4674,3.275
119,indiv,1,1,0,0,3,64,1,1,64,0.2,0,0,0.5504,0.7025,0.4925,0.3475,0.5226,0.4615,3.0899
120,ratioNorm,1,1,0,1,3,64,1,1,64,0.2,0,0,0.5747,0.703,0.5944,0.2876,0.5465,0.473,3.188
121,ratioNorm,1,1,0,1,2,16,1,1,32,0.2,0,0,0.5715,0.7162,0.5224,0.3333,0.5878,0.4792,3.2187
122,ratioNorm,1,1,0,1,3,16,1,1,32,0.2,0,0,0.5601,0.7126,0.5168,0.3584,0.4987,0.4694,3.2014
123,ratioNorm,1,1,0,1,4,16,1,1,32,0.2,0,0,0.5734,0.7587,0.4739,0.329,0.5984,0.4693,3.2494
124,ratioNorm,1,1,0,1,2,32,1,1,32,0.2,0,0,0.5747,0.7248,0.5099,0.3072,0.6463,0.4776,3.2253
125,ratioNorm,1,1,0,1,3,32,1,1,32,0.2,0,0,0.5656,0.7405,0.4708,0.281,0.6569,0.4591,3.3037
