,name,model_unique_name,acc_OTI,distance_OTI,distance_P14,distance_OT3,synthetic_EC50_OTI,synthetic_EC50_P14,synthetic_EC50_OT3
781,pious-sweep-782,run_652ae475f44de2a6f62693deea976fa8,0.5559667944908142,0.8762986598596043,2.7014970059880246,1.0979027163613395,0.6997064454371417,2.575639629831248,0.4268730259001881
782,toasty-sweep-783,run_34d5c51a9e4ce284ea2fc97437ebd7b0,0.5387364625930786,0.9014167198468411,2.1761295590636913,1.3074542008843968,0.5483854499042761,1.8821720195971703,0.3564245104232475
783,proud-sweep-784,run_8a0775ba394abe2fd57154bbad8e4b5c,0.5989789366722107,0.806738991703893,2.267964071856288,1.2913834491471892,0.5289597957881306,1.9731355470876446,0.34027795325331683
784,fancy-sweep-785,run_438eb6bc44b1c97292f8a90eea2608e5,0.7193363308906555,0.5707721761327377,2.4822264561785525,1.2623752368919776,0.4460497766432674,2.22387044093631,0.700379027163615
785,fearless-sweep-786,run_97ae6d4fdc192330a5440edb26cdb965,0.43178045749664307,1.5589278876834718,4.04047359825803,1.9017687934301963,1.5589278876834727,4.04047359825803,1.9017687934301963
786,northern-sweep-787,run_a9abe9f4f14f8a652feead4cf6bc7f69,0.5306956171989441,0.9930057434588386,2.214888405008166,1.3719140871762476,0.6108232291001924,1.9939847577572132,0.33150979153506094
787,hearty-sweep-788,run_8127741497e0ceaabf89808ddfec7451,0.5846841335296631,0.8657817485641354,2.683151878062059,1.2561339229311437,0.7150223356732609,2.5787425149700605,0.387201516108654
788,sunny-sweep-789,run_8316b30a4a5c7c5750410458d7b93083,0.5104020237922668,1.0007402680280792,1.8235982580293966,1.3257485786481367,0.5804211869814945,1.5316004354926507,0.2693493367024639
789,fearless-sweep-790,run_edc1c89140efcef1be78d7bc6a72df8c,0.5613273978233337,0.8962093171665604,2.4519597169297773,1.2190145293746057,0.7387109125717927,2.2752585737615685,0.4607075173720782
790,hopeful-sweep-791,run_582aa34e71ebc01c0255565b4151f2ca,0.5970644354820251,0.8253988513082323,2.6569134458356025,1.2587113076437146,0.6642246330567965,2.5128742514970073,0.39680353758686154
791,crisp-sweep-792,run_253f478e69e256f5b3cb9031baf0e9d3,0.6504148244857788,0.7294703254626675,2.179831246597714,1.2582564750473786,0.47859604339502304,1.9198421339139893,0.5030069488313337
792,ruby-sweep-793,run_ee23cb40080d0fdd2cda11e06583f257,0.5153797268867493,1.146981493299298,2.740636908002178,1.7995830701200253,0.7840970006381618,2.612928688078389,0.5317877447883769
793,colorful-sweep-794,run_06bbf46f8281d915c72701248e6879f2,0.5827696323394775,0.8874282067645182,2.6626292868807844,1.2987618445988633,0.6581493299298024,2.5595264017419717,0.33100442198357477
794,summer-sweep-795,run_19ef41757377400e1aad183a6a1a05ab,0.6014039516448975,0.826419910657307,2.726810016330975,1.3217814276689832,0.6381365666879389,2.6416712030484493,0.39960833859759953
795,vital-sweep-796,run_6a9fd03f77c404267bdcba644eaa9405,0.5799617171287537,0.8726994256541162,2.7603973870440948,1.170827542640556,0.7464964901084865,2.661105062602069,0.4012507896399236
796,trim-sweep-797,run_814720730cb112c8d4c5745745b0b935,0.5193362832069397,1.0106955966815572,2.068181818181819,1.5452811118130134,0.6223867262284624,1.8419433859553629,0.239355653821857
797,northern-sweep-798,run_43e7c14a1f66fc8f33b0bb1f91ca9cd9,0.5608168244361877,0.9004211869814933,2.462792596624933,1.3599368288060647,0.6440331844288452,2.2095536200326635,0.4075931775110553
798,fresh-sweep-799,run_35c5af3b157154fd085e1db555a3d2de,0.43178045749664307,1.5589278876834718,4.04047359825803,1.9017687934301963,1.5589278876834727,4.04047359825803,1.9017687934301963
799,fiery-sweep-800,run_9128afcb7106b7f39470cd784ef75ca6,0.603318452835083,0.820089342693044,2.4907729994556354,1.2626279216677199,0.6690236119974478,2.3134186173108335,0.4852432090966527
800,decent-sweep-801,run_5258e81531c2853d9d3e8da00e75d056,0.6074026823043823,0.8598340778557755,2.7397659227000553,1.3279469361970944,0.7052456924058704,2.650816548720742,0.509121920404297
801,polished-sweep-802,run_0594095bb0265f3f97d3459e5f97c912,0.6089342832565308,0.7981620931716656,2.594801306477954,1.223562855337966,0.6219272495213782,2.4324714207947755,0.44761844598862954
802,curious-sweep-803,run_b975a0e18321f6789dfb47ade58867e5,0.6243777871131897,0.7098404594767072,2.45827436037017,1.0899936828806067,0.5232929164007665,2.3259934676102354,0.46545799115603265
803,youthful-sweep-804,run_8b384bd7b185f0e1b3de90c2a5721adf,0.5789406299591064,0.8706573069559669,2.5600163309744155,1.2353632343651297,0.6902361199744749,2.3320359281437133,0.43240682248894674
804,spring-sweep-805,run_0531f267f30e5c5409360ddb9a348846,0.43178045749664307,1.5589278876834718,4.04047359825803,1.9017687934301963,1.5589278876834727,4.04047359825803,1.9017687934301963
805,fine-sweep-806,run_c523057e9909ffd12676ba98c73f976e,0.43178045749664307,1.5589278876834718,4.04047359825803,1.9017687934301963,1.5589278876834727,4.04047359825803,1.9017687934301963
806,youthful-sweep-807,run_0b330b6ff745f9a626272feeae784254,0.5835354328155518,0.8423484365028717,2.265677735438215,1.2368288060644346,0.5901978302488841,2.0393304300489934,0.3366645609602013
807,genial-sweep-808,run_49b4e00a1a947bee5e4e2351ed1db310,0.43178045749664307,1.5589278876834718,4.04047359825803,1.9017687934301963,1.5589278876834727,4.04047359825803,1.9017687934301963
808,super-sweep-809,run_76ec4ca49d52f8f2567e560abec2ce5c,0.5590299963951111,0.8883982131461391,2.4121665759390316,1.2896399241945677,0.6788768347160177,2.2452640174197067,0.3898547062539489
809,polished-sweep-810,run_2045523b9cd771652dd171b58af6ce6c,0.5587747097015381,0.8337715379706446,2.446298312465977,1.1535691724573596,0.6375749840459475,2.2875612411540556,0.38659507264687343
810,peachy-sweep-811,run_b9f96adc556e6f73ffaf185b6f656cd4,0.6298660039901733,0.7760561582641992,2.5077027762656514,1.2810739102969046,0.5093554562858972,2.2609961894393047,0.5466961465571701
811,divine-sweep-812,run_ab70ba3846bf517f40c1f53270130ca3,0.5360561609268188,0.9614039566049777,2.1499455634186178,1.3691850915982315,0.5911167836630499,1.8259390310288526,0.285066329753633
812,elated-sweep-813,run_d6f18e2eda24027b85257f4c67247cbc,0.5606892108917236,0.9168602425015955,2.309716929776811,1.2760960202147824,0.6394384173580092,2.0264289602612964,0.3921541377132041
813,hardy-sweep-814,run_b10b110307900d13b6ad55f85b95f581,0.5726866722106934,0.8468666241225272,2.582879695155145,1.267226784586229,0.6385194639438417,2.4154327708219934,0.5162223626026529
814,eager-sweep-815,run_585c577b5b431e5eeae45483a99c8398,0.5411614775657654,0.9647734524569241,2.335628742514971,1.3409602021478206,0.5878493937460121,2.154790419161678,0.3187239418825012
815,deep-sweep-816,run_7f39cadc3264cd186c241d3789ffd1fa,0.5678366422653198,0.8883471601786854,2.4365541643984767,1.1836386607706886,0.6278749202297391,2.2261023407730005,0.29729627289955807
816,peach-sweep-817,run_98cd2ed8816214117c0f49a2bb700326,0.6298660039901733,0.7549712827058074,2.5108056614044645,1.2503979785217942,0.5796553924696872,2.3143984757757226,0.3822236260265322
817,youthful-sweep-818,run_603103ad6f2eb46d84ff3ac42def9efe,0.6127632260322571,0.8039821314613912,2.505525313010344,1.3791408717624765,0.6103382259093805,2.325557974959174,0.47879974731522534
818,celestial-sweep-819,run_a56c7b105ea934057f63c7a8d4fcfda4,0.5758774876594543,0.8232035737077219,2.370958083832336,1.2497915350600128,0.5763624760689211,2.1366630375612417,0.43015792798483976
819,cerulean-sweep-820,run_a2ad027d93fcb108492da879e0ba0824,0.5692405700683594,0.9358774728781111,2.6202231899836703,1.361099178774479,0.6939374601148689,2.5163581927054985,0.35157296272899496
820,jolly-sweep-821,run_0a2d61639560dec4f341d4b55c06602b,0.6028079390525818,0.8128908742820676,2.6214207947740893,1.191724573594441,0.5778940650925348,2.4331790963527498,0.40049273531269886
821,fiery-sweep-822,run_72aae4e2b79cd835fdf630ae1c57aad4,0.5405232906341553,0.9618889597957881,2.155008165487208,1.4282122552116234,0.6246330567964264,1.9111322808927613,0.45348073278585
822,lyric-sweep-823,run_9f4841c3a1f61952da4a85c52e86030e,0.43178045749664307,1.5589278876834718,4.04047359825803,1.9017687934301963,1.5589278876834727,4.04047359825803,1.9017687934301963
823,glorious-sweep-824,run_2974e6235466933e7280d3d2d8ba01f2,0.5430759191513062,0.8658583280153159,2.415759390310289,1.0780922299431461,0.6748691767708997,2.2219651605879167,0.3334554643082752
824,sweet-sweep-825,run_02be492f7298c16b0bd35d37849e5c57,0.5821314454078674,0.8607275047862157,1.9515786608600991,1.2568919772583704,0.5350095724313972,1.6569678824169844,0.31543903979785193
825,lemon-sweep-826,run_3ee10ef9ccd26fb0b0ffd261edd218e7,0.6084237098693848,0.8104658583280153,2.615868263473055,1.3146304485154774,0.6065603063178044,2.397577572128471,0.502678458622869
826,likely-sweep-827,run_0529f6b7c2d03ec017988c986534687a,0.5897893905639648,0.8638927887683472,2.7610506260206864,1.2845104232469995,0.6984301212507986,2.5906641262928694,0.41555274794693586
827,sweepy-sweep-828,run_6d452592702cb3554b7a236a3ae23826,0.561837911605835,0.8920485003190811,2.5845127925966263,1.099747315224258,0.681097638800255,2.4834784975503554,0.33969677826911066
828,true-sweep-829,run_b6a5588f6b2dc5ebf3ddf5f695102f41,0.5530312657356262,0.915966815571155,2.701714752313556,1.2723310170562225,0.7644926611359294,2.5829341317365277,0.6519393556538214
829,fragrant-sweep-830,run_6eec3968a1963241e9b52b34e22bc569,0.6052329540252686,0.8404084237396299,2.731818181818183,1.208704990524321,0.6883216336949582,2.6193522046815465,0.38715097915350716
830,hopeful-sweep-831,run_08066a004905f968b27d997d1fd14a9a,0.6066368818283081,0.8142437779195918,2.735574305933588,1.2321794061907771,0.6739502233567326,2.58217201959717,0.4616171825647492
831,zesty-sweep-832,run_0cdb88134b7b99ec2bacd10368a9727f,0.5783025026321411,0.902795149968092,2.4944746869896584,1.302198357548958,0.6180727504786219,2.3683995645073503,0.3477574226152879
832,rosy-sweep-833,run_fb1ce88257d0f201624f4de976430454,0.5696234703063965,0.9009061901723038,2.578688078388678,1.2631080227416298,0.6747925973197187,2.4680729450190526,0.33108022741629817
833,dry-sweep-834,run_72023b1c627fc33995b4613dd27088d0,0.5189534425735474,0.9363624760689216,2.6966521502449656,1.0020593809222997,0.8144990427568598,2.611948829613501,0.3330764371446633
834,true-sweep-835,run_2eb0c40e702a6893a118bdb78d7df448,0.5480536222457886,0.9256924058710914,1.9755307566684819,1.3943272267845865,0.5695469049138483,1.657838867719108,0.24349968414403017
835,fast-sweep-836,run_90da8185a7c5c24df523f38087915918,0.5430759191513062,0.9284747925973198,1.8975775721284711,1.3938976626658244,0.5180599872367588,1.5827163854109967,0.2653821857233104
