,name,model_unique_name,acc_OTI,distance_P14,distance_OT3,synthetic_EC50_P14,synthetic_EC50_OT3,composite_score_distance,composite_score_syntheticEC50
570,vague-sweep-571,run_52ef09e81910322de9062298fc575acf,0.4760690530141194,0.4975886181801852,0.5853975014206724,0.44004717837053214,0.1176089703095385,0.9299399468898806,0.694245652704184
571,different-sweep-572,run_7686e3796d0da73fb3424f994993da7a,0.48883199691772455,0.5771241411139605,0.5044566404536853,0.44200689530030957,0.23952937460517937,0.9213259486899664,0.7169638374192162
572,smooth-sweep-573,run_8086c0e7b71118f2a301b54aef44cdbb,0.533928871154785,0.3617490988980392,0.5782860624876724,0.2336962438758845,0.16947252053063772,0.826135266021305,0.5482309429061417
573,silvery-sweep-574,run_06eded2af9b56196bffe88a0ae49d571,,0.8845154413155782,0.6299181304945399,0.6953184540010898,0.5809380922299445,,
574,grateful-sweep-575,run_a7eb41d4bddd902aeaf3bba35639eda6,0.5985959370930989,0.3305889600598628,0.4176681150925391,0.27481400834694236,0.30080543272267973,0.6669789626341924,0.5719544293537373
575,eager-sweep-576,run_baa453bb700301aed5a7264d82ac1202,,,,,,,
576,good-sweep-577,run_9619bb990c60de9064b8c6ff014d8ed0,0.49308657646179194,0.44177986415346027,0.6294306152641,0.38698965704953786,0.16934617814276673,0.9210393947961292,0.6598487263593886
577,tough-sweep-578,run_a000fef669aa1a0420c111bb713c3926,,0.2536020853188812,0.7746750344665675,0.20194157140264876,0.30364813644977967,,
578,firm-sweep-579,run_f1b44f29ad0978fa17e904608d75ecd0,0.44543703397115064,0.6699344727348024,0.246918815586139,0.6156595899110876,0.17705306380290586,0.9040581743116061,0.8473043144834087
579,dazzling-sweep-580,run_75cf82bde4756906ebf553765e176708,0.3399276733398437,0.7678799832689016,0.7982744137170105,0.6483941208492112,0.24960518003790233,1.289409626427086,0.958338749230212
580,worldly-sweep-581,run_98572988aa37e7beda33740976e902ee,0.29653271039326984,0.6351234233190972,0.5041745792310144,0.5060968971148622,0.2739576753000642,1.073517581010194,0.90887463638928
581,fresh-sweep-582,run_e0a71a9492dcead67bb7fbbd1cd2693d,0.14932990074157712,0.3347628989069662,0.6899518829608604,0.29107240065323925,0.17828490208464962,1.145311930025252,0.9165960214324018
582,rose-sweep-583,run_3d9d241b9314390af6dfaa5fdbeb55eb,0.3135502338409423,0.7690687780876195,0.5367100833067194,0.6506441662130292,0.49256159191408816,1.1622124506354743,1.0663808111157167
583,royal-sweep-584,run_b6e32c2137d6727df76e7fa5607c3183,0.7355880737304686,0.654055316614425,0.3816446121363677,0.5450009072763574,0.34846809854706323,0.8020939059224165,0.6988345093014673
584,lyric-sweep-585,run_23563a17d45ab84429fd347e2e96b8eb,0.3943840662638346,0.4420964258257314,0.7100635270202518,0.3892397024133564,0.1343809222994316,1.0326713520416133,0.7323499419048326
585,polar-sweep-586,run_43d8c63d829e4bdb89f18bcd0eec92d5,0.5364815394083658,0.86732526498841,0.3278000130847528,0.7422427871529669,0.2325805432722676,1.036607605207881,0.9054653099366458
586,fresh-sweep-587,run_1ade330e7ad693e7ea15e1953dde9895,,0.752695158428148,0.6140367912111521,0.6030665940845589,0.6872552116235,,
587,quiet-sweep-588,run_04e67362bd4eb61100c80bc12d7e2c70,0.6573069095611571,0.2571206079770354,0.4931751525191718,0.2015423698058433,0.16659823120657058,0.6532773471836549,0.43106014859023817
