,name,model_unique_name,acc_OTI,distance_OTI,distance_P14,distance_OT3,distance_conc,distance_SL,synthetic_EC50_OTI,synthetic_EC50_P14,synthetic_EC50_OT3,synthetic_EC50_conc,synthetic_EC50_SL,SD_OTI,SD_P14,SD_OT3,SD_conc,SD_SL,spearman_corr_OTI,spearman_corr_P14,spearman_corr_OT3,spearman_corr_conc,spearman_corr_SL,composite_score_accuracy,composite_score_distance,composite_score_syntheticEC50,composite_score_distance_withSD,composite_score_syntheticEC50_withSD,composite_score_spearman,composite_score_spearman_SD
28,crimson-sweep-33,run_1ca88cc51509526fcf8bb068d53f15fa,0.31429469585418707,0.2772671011191037,0.4971237312579934,0.43257735018425547,0.14403509404640522,0.30529279844888924,0.22758781517235002,0.48742550817709346,0.2760270076422726,0.14403509404640458,0.2221900668645416,0.38612301493310336,0.32606991851270334,0.210847832795922,0.5076396929387993,0.30823959246550986,0.7710437585568497,0.6625487328699224,0.5555933446480957,,0.7471583907440802,0.9510241491182039,0.7149351113459829,0.6046244690587446,0.9005562705627786,0.8157451388756273,0.6031513852297243,0.8146538998367239
29,lucky-sweep-34,run_b2ebfefc789ec1a210442c2409717518,0.20516902208328253,0.29093877090791675,0.3354104873602003,0.42688398090668506,0.19969656633082963,0.31462768480627457,0.1976690251471592,0.3020054967482108,0.1618776741770338,0.1996965663308294,0.21475580131815733,0.39483463423172704,0.24797656107396762,0.13117730315316747,0.4069251842798507,0.25748495177680736,0.7688586623084146,0.6805750014764249,0.5564390188991074,,0.7496279468647372,0.962541641510637,0.6159346528677823,0.39558152758404647,0.7835622149496912,0.6253630889805047,0.5934686104814878,0.7660282238405701
30,graceful-sweep-35,run_fb2bccb49b3e4209c72a85bdd12b8306,0.4355457425117494,0.26515864005965817,0.5893276007510406,0.41224247520589635,0.16376811831782018,0.3447832981351753,0.2007646909587594,0.5794334539715367,0.217817129572379,0.16376811831781996,0.29696801551748464,0.3996306275402766,0.3514770729282371,0.21920229011695333,0.5305290389784195,0.3225447703277599,0.7765342789455183,0.6840751297360725,0.5271116317199003,,0.7095577126584682,0.9142535141674186,0.7665246139356187,0.6507640821774828,0.9585668464035791,0.8687832329800427,0.6110391648595809,0.8394398586243373
31,resilient-sweep-36,run_9e61d46c13372cff74cdc08867b04922,0.17262279987335208,0.30312154844793865,0.4946638003755204,0.3323325006801376,0.23550862433567538,0.3764441010996335,0.18835640133974688,0.47634493455604227,-0.06106398239062104,0.23550862433567502,0.2941593380354565,0.39676614605524874,0.34892477105738456,0.0725094446040715,0.4229562422253757,0.26965368457188016,0.7600277012225918,0.674742204641879,0.5211553478354503,,0.6888327291185542,1.019651998330645,0.6685954229156391,0.5158599039935766,0.8552481099736593,0.7419844544315172,0.6266350920019782,0.8228614880999728
32,good-sweep-37,run_6a4336108a29a03ef8a0d7f4391e850f,0.1547542214393616,0.3196992488910187,0.6091376636098941,0.5776469715331536,0.15939037864456462,0.4039951304564121,0.22186288353069916,0.5988516694331818,0.28366433358890014,0.15939037864456457,0.3388877063158173,0.4459822671986157,0.35862520612711046,0.22640189849844092,0.6246377556311219,0.40658033844504676,0.7463802150111092,0.677732454059885,0.5228886111838383,,0.6807098535321557,1.191287179115147,0.8982941203698408,0.6987931848708173,1.0888996131232915,0.9311723556844504,0.6291380165290935,0.8801049281825379
33,unique-sweep-38,run_af49a75bc3c8b94cd90b0b3efe42b565,0.29195904731750494,0.28082147900046894,0.3716019483523362,0.4207454307125368,0.17293178234084897,0.3080799504435446,0.18884330241938588,0.3490707230128711,0.14325427250018563,0.17293178234084852,0.19960584440899387,0.4295204076853982,0.26850387995686575,0.12916770424288856,0.49687217793190436,0.2906092854530513,0.7809806492843046,0.6809492606839965,0.5624405793338344,,0.7651362679760867,0.9035688773747498,0.6276746199686118,0.4219406938456466,0.8168487243928593,0.6717889245235036,0.5841413329492475,0.7838925352682112
34,fresh-sweep-39,run_b8109f6bd201376c6b1358c1f2a6fa4e,0.23133367300033575,0.3029344759278669,0.6159460121363846,0.5035441347414242,0.1616911304256596,0.37944969692911024,0.24698185396555286,0.608402949740129,0.32536294610837735,0.16169113042565908,0.33394481662277903,0.30605655881746324,0.3474413089655033,0.17882471879023934,0.5639846403347986,0.3607311140196729,0.7385206626014386,0.6562980857823744,0.5127613801743394,,0.6910340763336601,1.106252280342219,0.8513022272993864,0.732813231417852,0.9854338347277071,0.8850873361213187,0.6510790446427112,0.8186991405846981
35,true-sweep-41,run_541f604de42eae32b8c51cd0876d7a7a,0.4138481616973878,0.27980667464501063,0.6649922446869305,0.5173150644275715,0.14392690051768967,0.39268388546208444,0.2148130684249773,0.6567634493455609,0.335651571735958,0.1439269005176895,0.3452704119420213,0.40100476578333283,0.3710676694489166,0.18872436654641414,0.592652274430439,0.39686516579118464,0.7673133640666367,0.6506814959976805,0.515313618951737,,0.6860350724674343,1.0263544898927448,0.8877619819261037,0.7682088650694237,1.0593555874081682,0.9613832661279232,0.6411609593183806,0.8632498478271555
36,scarlet-sweep-42,run_57932bb11035b85fcf7fd7ff32b723ab,0.5931717157363893,0.24859119016562323,0.5826226563988136,0.5895333020057872,0.11564084994213288,0.3362775416617836,0.20850641812502074,0.5734142425644235,0.46793460786980934,0.11564084994213276,0.26647756127389427,0.4234649775907953,0.27359645519401093,0.2607462035352084,0.5847523339611828,0.3091236008765243,0.7929485481859592,0.6541198069336653,0.5091577767037481,,0.7215665017035613,0.9233135582238192,0.8653301414783943,0.7689223739866917,1.0348731535554216,0.9557237087234235,0.6351610030726971,0.8518190476991226
37,pious-sweep-43,run_26fd8d7b5760e206526a69390d4977d9,0.24920225143432623,0.28971895557155786,0.5133473019674005,0.5348106744490884,0.1429711910140357,0.29632623709766265,0.23109094030849034,0.5034531551878959,0.36983651967452336,0.14297119101403571,0.21883448255518706,0.3893840773101987,0.2745272204252763,0.23122008321893386,0.597542604943889,0.3271055220486792,0.766184009316976,0.6632286354853143,0.5480738572329344,,0.7595344410914582,1.0551043404295062,0.7959176987348457,0.6660684300027092,0.955998360071965,0.8509377384669149,0.6101820285558117,0.8079418229510088
