,name,model_unique_name,acc_OTI,distance_OTI,distance_P14,distance_OT3,distance_conc,distance_SL,synthetic_EC50_OTI,synthetic_EC50_P14,synthetic_EC50_OT3,synthetic_EC50_conc,synthetic_EC50_SL,SD_OTI,SD_P14,SD_OT3,SD_conc,SD_SL,composite_score_accuracy,composite_score_distance,composite_score_syntheticEC50,composite_score_distance_withSD,composite_score_syntheticEC50_withSD
32,good-sweep-37,run_6a4336108a29a03ef8a0d7f4391e850f,0.1547542214393616,0.30938934677738855,0.47738223108792377,0.5388250157927984,0.1525205813598943,0.3880849214874537,0.1986312543210259,0.44156820622986037,-0.03545167403663898,0.1525205813598943,0.3136784425428169,0.4459822671986157,0.35862520612711046,0.22640189849844092,0.6246377556311219,0.40658033844504676,1.110255204165769,0.7835483138275089,0.4854829318711428,0.9963523477520193,0.6519805959710111
33,unique-sweep-38,run_af49a75bc3c8b94cd90b0b3efe42b565,0.29195904731750494,0.27263829225283726,0.2937854841184595,0.4741503474415664,0.16419097469255003,0.3059515044717753,0.16811024539543698,0.21503759398496256,-0.0957548957675295,0.16419097469254992,0.20936115771305822,0.4295204076853982,0.26850387995686575,0.12916770424288856,0.49687217793190436,0.2906092854530513,0.9013603349012043,0.6208543315949557,0.28925978202509606,0.8116196837495498,0.46936598352666764
34,fresh-sweep-39,run_b8109f6bd201376c6b1358c1f2a6fa4e,0.23133367300033575,0.2926800848280522,0.493724106183827,0.43555274794693616,0.15071907714198596,0.3651768795336318,0.22828223194102396,0.4534908700322235,-0.01720783322804789,0.1507190771419863,0.3121625046769578,0.30605655881746324,0.3474413089655033,0.17882471879023934,0.5639846403347986,0.3607311140196729,1.012085772814884,0.7205076830444641,0.5079988741591489,0.8749261007350048,0.617450432308207
35,true-sweep-41,run_541f604de42eae32b8c51cd0876d7a7a,0.4138481616973878,0.2706341129953158,0.5322694491330369,0.44856601389766265,0.1358547616627706,0.3772971407191049,0.19602892854091092,0.49777504986957233,-0.020555906506633023,0.13585476166277063,0.32228404523674425,0.40100476578333283,0.3710676694489166,0.18872436654641414,0.592652274430439,0.39686516579118464,0.9099979191459485,0.7468367013083824,0.535378264771612,0.9443929174028823,0.6735624309591747
36,scarlet-sweep-42,run_57932bb11035b85fcf7fd7ff32b723ab,0.5931717157363893,0.23916539139756546,0.47419057848703394,0.4449905243209094,0.1071958532371176,0.3279639844061169,0.19324016748102624,0.42600889980052165,0.05744788376500291,0.10719585323711751,0.24900969186390323,0.4234649775907953,0.27359645519401093,0.2607462035352084,0.5847523339611828,0.3091236008765243,0.7670609652029877,0.6928732610684413,0.47130203095936607,0.8956782603716259,0.6190385282725026
37,pious-sweep-43,run_26fd8d7b5760e206526a69390d4977d9,0.24920225143432623,0.27873627952862945,0.41175387448212386,0.43848389134554616,0.13295812582579533,0.2905121118124872,0.21174386899814338,0.36084087770446516,-0.02629185091598312,0.13295812582579492,0.2027856565242052,0.3893840773101987,0.2745272204252763,0.23122008321893386,0.597542604943889,0.3271055220486792,0.9620325542162584,0.6629504428281465,0.4192050411259626,0.8484993641405687,0.5621003532785555
38,prime-sweep-44,run_5e3f5ae71e31cfc0150dc8a7b8cd584b,0.2504786849021912,0.2923149824051705,0.3971919594905631,0.511863550221099,0.17836162211606868,0.35551156868188244,0.17063488980898125,0.3569894123062761,-0.03682880606443447,0.1783616221160687,0.26927208429387023,0.4461117903022056,0.3768924130489724,0.05381710989794505,0.5663091279698375,0.36149548303438755,0.9907310172366914,0.710783930366631,0.39738402971814973,0.9215062112898207,0.5743640117244265
39,gallant-sweep-45,run_28b8979f398b7b4197ce107771e7dc84,0.47766447067260753,0.25251881831105166,0.4866809881847476,0.4285660138976625,0.12326201849781482,0.36614968679468457,0.19278184741825985,0.4405247813411081,0.005041061276057967,0.12326201849781507,0.31117521393311065,0.3597447271557166,0.3058260245331752,0.22529046813310774,0.5625168994954234,0.31291126485057363,0.8326833838418665,0.6959116079861176,0.48088703035995606,0.8706288458117879,0.6067150455389155
40,happy-sweep-47,run_9798cca34b65030f66c271e5587cf453,0.05903005599975587,0.3116809470912212,0.42119073193187057,0.5510423246999366,0.16155351153572517,0.38611999565495514,0.18025961112707903,0.3668405708147919,-0.05701831964624156,0.1615535115357248,0.308966482806899,0.4555555838498056,0.30254789325020837,0.08175079015419977,0.5869329856776062,0.3729335898436146,1.168962664839146,0.7603908791244776,0.4126943427946269,0.9401827473600058,0.5684991427113548
41,twilight-sweep-48,run_5b2b0e19b09ff812966e6456eb8e612d,0.25877475738525396,0.28185907046476766,0.46745435016111714,0.4264434617814275,0.10043957719280415,0.30781504592471004,0.2327023016988911,0.425410464937855,0.04771951989892585,0.10043957719280464,0.24618782663271085,0.39294526352980874,0.4120543082347143,0.2627108940182401,0.6371446083062017,0.37574984303553755,0.9745678303073467,0.6926847271190141,0.4872387273955014,0.9343574680415979,0.6587924186908719
