,name,model_unique_name,acc_OTI,distance_OTI,distance_P14,distance_OT3,synthetic_EC50_OTI,synthetic_EC50_P14,synthetic_EC50_OT3,composite_score_accuracy,composite_score_distance,composite_score_syntheticEC50
36,smart-sweep-37,run_744746f53d90a8a72ad30b95e981739c,0.5167289347875688,0.4371835779621358,,0.5295641187618451,0.5031368121348992,0.5018508437670125,0.4346037762335932,,,0.8329954162127368
37,curious-sweep-38,run_625121b3fc3cf22e720966ea9321c2ed,,,,,,,,,,
38,vivid-sweep-39,run_f021d872e2b1b36039f6498999759da7,,,,,,,,,,
39,gallant-sweep-40,run_55d62acd3133c8fa4f05b5acb2b63851,0.7324886662619456,0.28321633694958515,,0.4862286797220473,0.3331304305139649,0.6798947559426614,0.23779041201656886,,,0.7935849311445878
40,denim-sweep-41,run_3a32a2254122011b780a8f5d9b59ad6f,0.22439000720069535,0.6500319081046587,,0.5566013897662665,0.4578567571547798,0.47717292687352586,0.23166982522636273,,,0.700712294835585
41,lunar-sweep-42,run_654aa784c3bedbc5ce5ccee13f599eda,0.649223531995501,0.34703254626675195,,0.40429564118761874,0.27477296156300635,0.4170023589185267,0.48182775321120047,,,0.693937411813396
42,misty-sweep-43,run_0fc0d36497ddaaec16b6da0a51641f6a,0.7087853181929817,0.2896830461603915,,0.455211623499684,0.28058514555004826,0.5514607149337687,0.541236751596828,,,0.8220548432420379
43,fiery-sweep-44,run_1f40783386bd8cbed6803eac9e88eb02,,0.021272069772388935,,0.48528111181301414,0.1509498797309894,0.5787878787878796,0.8720853513020276,,,1.057503728020925
44,solar-sweep-45,run_2906f92f4bfabc012f13ee6647c784ed,,,,,,,,,,
45,zesty-sweep-46,run_6bf82a0714bc3628199afd8f3f6cece2,,,,,,,,,,
46,azure-sweep-47,run_4cb1701b21c3e47418644d2e15b9955a,0.4523051125662669,0.45866836843224845,,0.1730890713834499,0.5936576505817086,0.7338958446742886,0.2262230645048105,,,0.9706747095903597
47,sweet-sweep-48,run_99827edb0edc2793a71376e1fa795d85,0.3811953521910169,0.5113380131886834,,0.6694251421351867,0.3287320210102583,0.37838867719107255,0.22094476030041385,,,0.5477767061203916
48,summer-sweep-49,run_0d1f9a0c6c3863c7c029706822815f87,0.5531953402927945,0.42867475005318034,,0.9984838913455465,0.16681557115507262,0.3019234258755219,0.056980416929880186,,,0.3496168728561421
49,stoic-sweep-50,run_5b0ea95e041ac389391091c6b88fa8a8,0.5209832872663227,0.38949159753244,,0.41554011370814947,0.35740022581120273,0.3089638904010165,0.12419456727732137,,,0.48848530942376467
