,name,model_unique_name,acc_OTI,distance_OTI,distance_P14,distance_OT3,distance_conc,distance_SL,synthetic_EC50_OTI,synthetic_EC50_P14,synthetic_EC50_OT3,synthetic_EC50_conc,synthetic_EC50_SL,SD_OTI,SD_P14,SD_OT3,SD_conc,SD_SL,spearman_corr_OTI,spearman_corr_P14,spearman_corr_OT3,spearman_corr_conc,spearman_corr_SL
928,visionary-sweep-741,run_20aec40d34d70b18c71a842f4ba3776a,0.43178045749664307,2.541174218251436,7.593413173652695,4.577321541377132,0.0,2.844908213324893,2.541174218251436,7.593413173652695,4.577321541377132,1.6010501526376075e-15,2.844908213324893,1.0,1.0,1.0,1.0,1.0,,,,,
929,colorful-sweep-742,run_9918fe8c4197806d29aa15cbb24d8335,0.5654116272926331,1.3131589023611996,4.968181818181819,2.302362602653189,0.8767710133143611,1.8163277417312866,1.0439055520102096,4.876075122482309,1.836159191408718,0.8767710133143604,1.5695719259376484,0.5304137965093013,0.46210081139783393,0.3896122657472145,0.6713575746101463,0.4808118785942114,0.5646300886948088,0.2633871450973422,0.021630037138508185,,0.3960446638257176
930,zesty-sweep-743,run_11bc4db4da7df8c9dd4d82a816e690ce,0.5640076398849487,1.420242501595405,4.599836690255851,2.2829690461149714,1.143525764813497,1.9583676214590913,0.9400893426930438,4.466086009798585,1.425609602021478,1.1435257648134962,1.4293915176451972,0.5247833025476325,0.4489009904716774,0.3501988953803914,0.629457647247122,0.45412094481052195,0.5262177963514,0.27912816340458974,0.04213653591966353,,0.3507242342173225
931,brisk-sweep-744,run_9580e877a97850f82b77205b315e5615,0.6806637048721313,1.0067134652201657,4.906015242242788,2.667858496525584,0.6395568655351153,1.9115999366988443,0.742973835354179,4.819297768100163,2.30314592545799,0.6395568655351154,1.387039088463364,0.6460113745084322,0.43847380337088215,0.534415445519267,0.5565100819774063,0.3930147365097922,0.6639482734803118,0.2137003163250151,-0.20876806640133394,,0.3560297646354281
932,glamorous-sweep-745,run_a15dbf447dbe48a2f85e7c1627f9a24b,0.755711555480957,0.7611614550095723,4.6221556886227555,2.388414403032217,0.8548937900193109,2.05377828770375,0.5833439693682203,4.520740337506805,2.112520530638029,0.8548937900193107,1.6012145909162838,0.7451961806637739,0.41208149427935475,0.6566577275484469,0.5389451990651262,0.3857773960198754,0.7402458615753857,0.12493179382761743,-0.36827008198786076,,0.24477764940995117
933,sunny-sweep-746,run_b20e957a2064037ba3a2e2067689ed3a,0.5419272780418396,1.4658838544990425,4.74210669569951,2.434112444725205,0.99801300945218,1.9535369520493746,1.10818123803446,4.61031573217202,1.8415540113708153,0.9980130094521794,1.6562193385029271,0.5114529195981818,0.44065282149834034,0.3878456725090189,0.6728964812169276,0.5255299979660786,0.5224897708440522,0.25689752894042267,0.052362506505852474,,0.37280899114261445
934,dashing-sweep-747,run_9c2d08250ae73b1e34b5b5b2d9681d0f,0.6164645552635193,1.2560051052967451,4.529450190528035,2.22643082754264,1.1674153877426567,1.8664583003639812,0.9380472239948945,4.426565051714753,1.7593809222994317,1.167415387742657,1.3292926095901245,0.6076188613351446,0.40371321356214374,0.45107173642371423,0.5339582259752421,0.37768458458891874,0.5713355730179711,0.24042541572385262,-0.048261651731633944,,0.3696371436736191
935,lively-sweep-748,run_e1d6be6394fcf7eafefb2459cf686c03,0.5687300562858582,1.3729419272495214,4.516521502449646,2.0102716361339223,1.2281634312430123,1.8350886216173443,1.019604339502234,4.4249047359825795,1.3641692987997471,1.2281634312430127,1.5055823706282647,0.5235499667678184,0.43502571263455403,0.4038735114771893,0.5911973969861584,0.4549532033551663,0.529099776266473,0.308064523809796,0.03636409120056268,,0.3731715835492071
936,frosty-sweep-749,run_2878ee8778778aac5e48fd97f70beacd,0.5816209316253662,1.382514358647096,4.644746869896571,2.2125457991156026,1.1454670190059963,1.8305744579838579,0.8911040204211864,4.5580293957539455,1.3681869867340493,1.1454670190059968,1.4343408767210004,0.6119468499293856,0.5380146335841779,0.33329151103023336,0.672704728634494,0.5277889248531171,0.5623836378672395,0.3461586266069132,0.06414264940372953,,0.4140721425637803
937,bumbling-sweep-750,run_67dacd49980fe908eba81246cdbd5f17,0.5989789366722107,1.289164007657945,4.950435492651062,2.1427037271004417,0.675952840735847,1.8273619243551193,1.0107211231652837,4.8936037016875344,1.639380922299431,0.6759528407358456,1.5750514321886362,0.5457184393931589,0.4929174622201565,0.3965629090444721,0.683468724267762,0.47466322654588317,0.5608730474648362,0.3158321344276501,0.015870543685890796,,0.3770417639897698
938,comic-sweep-751,run_fd0edd93affccd9f7e1e81ac8fd35258,0.549329936504364,1.4966049776643264,4.724387588459444,2.1814403032217307,1.2095944709828232,1.9155087830352902,0.9537332482450548,4.660206859009254,1.348338597599494,1.2095944709828237,1.5036081658490257,0.5906621127253794,0.5613305856559674,0.3293306835232896,0.6479001884232547,0.5525339677824364,0.5233877983649168,0.36003862676169457,0.04586634222672122,,0.380210094982726
939,divine-sweep-752,run_b1389c37e890f501f063b831b3362873,0.5794512033462524,1.4346522016592211,5.129613500272182,2.5117119393556533,0.8432208557780261,1.9310966925146382,1.1461008296107207,5.098747958628197,2.068363866077069,0.8432208557780257,1.6592736192435507,0.5128550105304478,0.5518900021582762,0.4290794304504677,0.6982554028547835,0.5418332232554122,0.5029527732802543,0.3284624873711889,0.02618247511121226,,0.3636856109106468
940,earthy-sweep-753,run_d09c9075db08bbb599c90664c2178eb9,0.612635612487793,1.2120740268028076,4.402994011976048,2.0464813644977884,1.0092082528712265,1.8511196391834148,0.8977919591576261,4.311377245508983,1.6000758054327215,1.0092082528712254,1.378402437094477,0.5871115546479108,0.402320579435101,0.4227955495961434,0.5322436028195336,0.4071334888328335,0.5827784900535609,0.23840891654369878,-0.01772757699864169,,0.3533841256335098
941,classic-sweep-754,run_fe295388b69b2735cc81fcb81f74c99c,0.6049776673316956,1.2617230376515634,4.971965160587916,2.24275426405559,0.8593810346579935,1.8283826554834623,1.0023484365028719,4.911703864997278,1.7957675300063165,0.8593810346579945,1.5529988922297835,0.5279994328200306,0.47108244525340376,0.4037841202949909,0.677973119526349,0.4790606826206615,0.5615811001202261,0.2836341819602916,0.008663202008042162,,0.38342596497783143
942,vague-sweep-755,run_e82806e8b8596e4c5abf315c45aaa3ec,0.558647096157074,1.3966687938736437,4.491045182362548,2.474706253948199,1.1663583697530235,1.8462137996518435,0.9587874920229739,4.403347849755035,1.8712192040429556,1.1663583697530242,1.1964590916284221,0.5776450352867403,0.4541285518293849,0.41058279858251123,0.5426224924091171,0.41136966749353754,0.5615000677386653,0.31088315551469664,-0.0010123912018595582,,0.40441430991416544
943,misty-sweep-756,run_9a4dd2c73f291b9e040ab592260cf7ac,0.6117421984672546,1.2766305041480532,5.081763745236801,2.267466835123183,0.7248094318528305,1.8423286912486152,1.001633694958518,5.033750680457267,1.794251421351864,0.7248094318528314,1.5957865168539331,0.5641337578958547,0.5189172123219336,0.37577083931935,0.708663712648942,0.5060637424471593,0.5738343569633406,0.3249109637796092,0.05742749129154412,,0.3932184126921163
944,fallen-sweep-757,run_9f1f477ceee447547d24fea0272daff8,0.6527121663093567,1.108908742820676,4.811594991834514,2.3960833859759942,0.8197072873259477,1.878560689982592,0.832763241863433,4.728307022318999,2.033025900189514,0.8197072873259471,1.4227211584111417,0.6292156464395262,0.4304190906834731,0.4945584714107844,0.5488335383155987,0.405897755144875,0.6244267519849861,0.2007661264110184,-0.09704080047208137,,0.36935142223049866
